Feria;Fecha;Especie;Cabezas;Peso Promedio;1 er;2 do;3 er;4 to;5 to;Promedio 5PP;Promedio General
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Bueyes;14;754,07;900;870;850;730;700;816,52;609,71
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Toros;25;679,64;940;905;880;850;835;881,28;733,49
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Cerdos Industriales;0;0;0;0;0;0;0;0;0
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Cerdos Maltones;0;0;0;0;0;0;0;0;0
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Caballares;1;375;500;0;0;0;0;500;500
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Terneras;132;197,35;1120;1100;1060;1050;1040;1072,95;919,99
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Corderos;0;0;0;0;0;0;0;0;0
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Lechones;4;0;630;500;0;0;0;556,33;556,33
Puerto Montt;MIERCOLES 18 DE MARZO DE 2020;Ovejas;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Novillo Gordo;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Novillo Engorda;37;276,49;1215;1170;1150;1100;1080;1142,86;1142,86
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Vacas Gordas;13;481;810;788;680;668;610;743,32;680,48
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Vaquillas Gordas;3;440,33;970;900;755;0;0;879,29;879,29
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Vacas Engorda;7;477,43;575;570;500;500;370;521,48;499,68
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Vaca Carnaza;6;0;725;708;645;602;0;650,84;650,84
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Vaquillas Engorda;15;281;1205;1000;990;930;800;1016,04;1016,04
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Terneros;206;210,22;1250;1250;1220;1220;1210;1225,99;1091
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Bueyes;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Toros;4;831,5;1020;1010;950;950;0;978,64;978,64
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Cerdos Industriales;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Cerdos Maltones;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Caballares;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Terneras;74;193,99;1170;1120;1110;1075;1050;1076,13;890,28
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Corderos;0;0;0;0;0;0;0;0;0
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Lechones;4;0;715;650;0;0;0;678,73;678,73
Puerto Varas;VIERNES 13 DE MARZO DE 2020;Ovejas;0;0;0;0;0;0;0;0;0
